id,split,locale,label,secondary,is_fallback,text,review_status
train-0041,train-mixed,en,safety,reunion,0,"I wish for safe travels, and also gathering around one table.",template-reviewed
train-0042,train-single,zh,abundance,,0,今年最想看到努力结出果实，不负每一次等待。,template-reviewed
train-0043,train-single,en,reunion,,0,I sincerely hope for coming home soon in the days ahead.,template-reviewed
train-0044,train-mixed,zh,safety,joy,0,今年最想看到岁岁康宁，同时盼望收获快乐。,template-reviewed
train-0045,train-mixed,zh,courage,abundance,0,我的愿望是成长得更坚韧，还想把祝福送给灵感丰沛。,template-reviewed
train-0046,train-single,zh,longevity,,0,把这个心愿送给未来：家族故事代代相传，一直记在心里。,template-reviewed
train-0047,train-single,zh,safety,,0,想对明天说：岁岁康宁，一直记在心里。,template-reviewed
train-0048,train-mixed,en,abundance,safety,0,Let this wish carry abundant inspiration; I also hope for gentle protection.,template-reviewed
train-0049,train-single,zh,reunion,,0,把这个心愿送给未来：亲人常相聚。,template-reviewed
train-0050,train-single,en,joy,,0,I want to see finding happiness for the people close to me.,template-reviewed
train-0051,train-mixed,zh,abundance,reunion,0,愿望很简单，事业有成；更希望团聚有期。,template-reviewed
train-0052,train-ambiguous,en,courage,,1,this is an ordinary sentence 1,template-reviewed
train-0053,train-single,en,safety,,0,Let this wish carry a peaceful journey for everyone I care about.,template-reviewed
train-0054,train-mixed,zh,reunion,abundance,0,我希望亲人常相聚，还想把祝福送给生活丰足。,template-reviewed
train-0055,train-single,zh,courage,,0,我的愿望是内心坚定，不负每一次等待。,template-reviewed
train-0056,train-single,zh,longevity,,0,愿情谊长久，一直记在心里。,template-reviewed
train-0057,train-single,en,safety,,0,Please weave a wish for my family stays safe after every patient wait.,template-reviewed
train-0058,train-single,en,longevity,,0,My heart asks for lasting friendship as good things unfold.,template-reviewed
train-0059,train-single,en,courage,,0,May there be standing by my choice—this matters deeply to me.,template-reviewed
train-0060,train-single,en,reunion,,0,This year I hope for gathering around one table starting today.,template-reviewed
train-0061,train-single,zh,joy,,0,愿望很简单，幸福相伴。谢谢此刻的自己。,template-reviewed
train-0062,train-single,zh,longevity,,0,愿望很简单，福寿安康，也送给每一个努力的人。,template-reviewed
train-0063,train-mixed,en,abundance,longevity,0,May there be abundant inspiration; I also hope for a long healthy life.,template-reviewed
train-0064,train-single,zh,abundance,,0,我的愿望是五谷丰登，在新的日子里。,template-reviewed
train-0065,train-mixed,zh,reunion,safety,0,请替我织下家人围坐；更希望家人平安。,template-reviewed
train-0066,train-single,en,abundance,,0,I sincerely hope for success in my work after every patient wait.,template-reviewed
train-0067,train-single,en,reunion,,0,This year I hope for joyful reunion starting today.,template-reviewed
train-0068,train-single,en,courage,,0,"For tomorrow, I wish for steady heart after every patient wait.",template-reviewed
train-0069,train-single,zh,reunion,,0,把这个心愿送给未来：共度佳节。谢谢此刻的自己。,template-reviewed
train-0070,train-mixed,en,abundance,longevity,0,"May there be prosperity through the seasons, while carrying growing old together.",template-reviewed
train-0071,train-mixed,en,longevity,joy,0,I sincerely hope for growing old together; I also hope for finding happiness.,template-reviewed
train-0072,train-single,zh,courage,,0,愿重新出发，这是我最珍重的期待。,template-reviewed
train-0073,train-single,zh,courage,,0,愿重新出发，这是我最珍重的期待。,template-reviewed
train-0074,train-mixed,zh,reunion,joy,0,想对明天说：与故友重逢，同时盼望生活有趣。,template-reviewed
train-0075,train-ambiguous,en,abundance,,1,the room is quiet 2,template-reviewed
train-0076,train-single,en,safety,,0,Please weave a wish for health and safety as good things unfold.,template-reviewed
train-0077,train-single,zh,abundance,,0,愿望很简单，收获满满，也送给每一个努力的人。,template-reviewed
train-0078,train-single,zh,safety,,0,愿望很简单，出入平安。,template-reviewed
train-0079,train-single,en,longevity,,0,I wish for growing old together—this matters deeply to me.,template-reviewed
train-0080,train-single,en,safety,,0,My simple wish is peace at home with gratitude for this moment.,template-reviewed
train-0081,train-single,zh,courage,,0,真心期待不惧风雨，也送给每一个努力的人。,template-reviewed
train-0082,train-single,en,abundance,,0,This year I hope for effort bearing fruit in the days ahead.,template-reviewed
train-0083,train-single,en,courage,,0,This year I hope for finding my courage for the people close to me.,template-reviewed
train-0084,train-single,zh,longevity,,0,我希望岁月绵长。,template-reviewed
train-0085,train-mixed,zh,courage,safety,0,今年最想看到不惧风雨，同时盼望被温柔守护。,template-reviewed
train-0086,train-mixed,en,abundance,longevity,0,"I want to see a thriving home, and also a purpose that endures.",template-reviewed
train-0087,train-single,zh,abundance,,0,把这个心愿送给未来：收获满满，这是我最珍重的期待。,template-reviewed
train-0088,train-single,zh,courage,,0,真心期待重新出发，也送给每一个努力的人。,template-reviewed
train-0089,train-single,en,courage,,0,My simple wish is strength through storms for the people close to me.,template-reviewed
train-0090,train-mixed,en,courage,abundance,0,"For tomorrow, I wish for overcoming this challenge; I also hope for prosperity through the seasons.",template-reviewed
train-0091,train-single,zh,reunion,,0,请替我织下共度佳节，愿好事慢慢发生。,template-reviewed
train-0092,train-single,zh,joy,,0,愿幸福相伴，愿好事慢慢发生。,template-reviewed
train-0093,train-single,en,safety,,0,I wish for peace at home as good things unfold.,template-reviewed
train-0094,train-ambiguous,zh,courage,,1,这是一段普通描述 1,template-reviewed
train-0095,train-single,zh,safety,,0,我的愿望是生活安定，也送给每一个努力的人。,template-reviewed
train-0096,train-mixed,zh,abundance,safety,0,把这个心愿送给未来：事业有成；更希望出入平安。,template-reviewed
train-0097,train-mixed,en,safety,longevity,0,I sincerely hope for a calm life; I also hope for a long healthy life.,template-reviewed
train-0098,train-mixed,en,safety,courage,0,"I want to see health and safety, together with a steady heart.",template-reviewed
train-0099,train-single,en,safety,,0,May there be gentle protection in the days ahead.,template-reviewed
train-0100,train-ambiguous,en,courage,,1,there are three cups 2,template-reviewed
train-0101,train-single,zh,abundance,,0,请替我织下灵感丰沛。谢谢此刻的自己。,template-reviewed
train-0102,train-ambiguous,zh,reunion,,1,这是一段普通描述 2,template-reviewed
train-0103,train-single,zh,courage,,0,今年最想看到拥有勇气，在新的日子里。,template-reviewed
train-0104,train-single,zh,courage,,0,请替我织下跨过难关，愿好事慢慢发生。,template-reviewed
train-0105,train-single,en,longevity,,0,May there be many meaningful years and I will keep it in my heart.,template-reviewed
train-0106,train-single,zh,longevity,,0,把这个心愿送给未来：福寿安康，这是我最珍重的期待。,template-reviewed
train-0107,train-single,zh,longevity,,0,愿家族故事代代相传，也送给每一个努力的人。,template-reviewed
train-0108,train-single,en,longevity,,0,My heart asks for growing old together as good things unfold.,template-reviewed
train-0109,train-ambiguous,zh,abundance,,1,我在学习一门新语言 4,template-reviewed
train-0110,train-single,en,reunion,,0,Let this wish carry coming home soon for the people close to me.,template-reviewed
train-0111,train-single,en,abundance,,0,I want to see abundant inspiration for everyone I care about.,template-reviewed
train-0112,train-mixed,zh,courage,joy,0,我希望跨过难关，同时盼望生活有趣。,template-reviewed
train-0113,train-single,en,joy,,0,Let this wish carry a bright heart for the people close to me.,template-reviewed
train-0114,train-single,zh,longevity,,0,我希望初心长存。,template-reviewed
train-0115,train-single,zh,safety,,0,请替我织下出入平安，不负每一次等待。,template-reviewed
train-0116,train-single,en,courage,,0,My heart asks for brave new start after every patient wait.,template-reviewed
train-0117,train-single,zh,safety,,0,愿旅途顺利，送给我在意的人。,template-reviewed
train-0118,train-single,en,longevity,,0,My heart asks for growing old together as good things unfold.,template-reviewed
train-0119,train-mixed,en,courage,safety,0,"My simple wish is a steady heart, and also peace at home.",template-reviewed
train-0120,train-single,zh,longevity,,0,今年最想看到长辈长寿，送给我在意的人。,template-reviewed
train-0121,train-single,en,courage,,0,Please weave a wish for growing resilient in the days ahead.,template-reviewed
train-0122,train-single,en,courage,,0,Please weave a wish for brave new start in the days ahead.,template-reviewed
train-0123,train-single,en,abundance,,0,I wish for plentiful life with gratitude for this moment.,template-reviewed
train-0124,train-ambiguous,zh,safety,,1,桌上放着一本书 1,template-reviewed
train-0125,train-single,zh,joy,,0,我希望遇见好消息。谢谢此刻的自己。,template-reviewed
train-0126,train-mixed,zh,courage,abundance,0,愿勇敢向前，也愿事业有成。,template-reviewed
train-0127,train-mixed,en,reunion,abundance,0,May there be a festival together; I also hope for rewarding results.,template-reviewed
train-0128,train-mixed,en,reunion,longevity,0,"My simple wish is gathering around one table, together with longevity for my elders.",template-reviewed
train-0129,train-single,en,reunion,,0,"For tomorrow, I wish for joyful reunion.",template-reviewed
train-0130,train-single,en,safety,,0,I wish for health and safety with gratitude for this moment.,template-reviewed
train-0131,train-single,en,safety,,0,I sincerely hope for calm life.,template-reviewed
train-0132,train-mixed,en,safety,reunion,0,"For tomorrow, I wish for a peaceful journey; I also hope for seeing those I miss.",template-reviewed
train-0133,train-single,en,safety,,0,May there be a peaceful journey—this matters deeply to me.,template-reviewed
train-0134,train-ambiguous,en,joy,,1,there are three cups 2,template-reviewed
train-0135,train-ambiguous,en,abundance,,1,the room is quiet 4,template-reviewed
train-0136,train-single,en,abundance,,0,Please weave a wish for prosperity through the seasons with gratitude for this moment.,template-reviewed
train-0137,train-ambiguous,zh,joy,,1,今天穿蓝色衣服 4,template-reviewed
train-0138,train-single,en,courage,,0,Let this wish carry courage to move forward—this matters deeply to me.,template-reviewed
train-0139,train-mixed,zh,joy,longevity,0,愿日日欢喜，也愿岁月绵长。,template-reviewed
train-0140,train-single,en,abundance,,0,Please weave a wish for plentiful life as good things unfold.,template-reviewed
train-0141,train-single,en,courage,,0,May there be standing by my choice—this matters deeply to me.,template-reviewed
train-0142,train-single,zh,courage,,0,愿不惧风雨，这是我最珍重的期待。,template-reviewed
train-0143,train-single,zh,longevity,,0,愿望很简单，情谊长久，也送给每一个努力的人。,template-reviewed
train-0144,train-single,zh,joy,,0,真心期待笑容常在，这是我最珍重的期待。,template-reviewed
train-0145,train-single,en,abundance,,0,"For tomorrow, I wish for abundant harvest and I will keep it in my heart.",template-reviewed
train-0146,train-single,zh,safety,,0,愿家人平安，送给我在意的人。,template-reviewed
train-0147,train-single,en,courage,,0,Let this wish carry standing by my choice for everyone I care about.,template-reviewed
train-0148,train-ambiguous,zh,abundance,,1,桌上放着一本书 4,template-reviewed
train-0149,train-single,zh,reunion,,0,愿望很简单，与故友重逢，不负每一次等待。,template-reviewed
train-0150,train-single,zh,courage,,0,把这个心愿送给未来：不惧风雨。谢谢此刻的自己。,template-reviewed
train-0151,train-mixed,zh,safety,reunion,0,愿家人平安，也愿早日回家。,template-reviewed
train-0152,train-ambiguous,en,reunion,,1,the window faces east 3,template-reviewed
train-0153,train-single,zh,reunion,,0,想对明天说：早日回家，从今天开始。,template-reviewed
train-0154,train-single,zh,courage,,0,请替我织下成长得更坚韧，一直记在心里。,template-reviewed
train-0155,train-single,zh,courage,,0,愿望很简单，成长得更坚韧。谢谢此刻的自己。,template-reviewed
train-0156,train-single,en,abundance,,0,May there be success in my work starting today.,template-reviewed
train-0157,train-mixed,en,reunion,courage,0,"I wish for gathering around one table, together with courage to move forward.",template-reviewed
train-0158,train-mixed,zh,joy,abundance,0,请替我织下遇见好消息；更希望五谷丰登。,template-reviewed
train-0159,train-single,zh,reunion,,0,今年最想看到早日回家，在新的日子里。,template-reviewed
train-0160,train-single,zh,longevity,,0,今年最想看到美好延续，送给我在意的人。,template-reviewed
train-0161,train-single,en,abundance,,0,I want to see prosperity through the seasons for everyone I care about.,template-reviewed
train-0162,train-mixed,en,joy,courage,0,This year I hope for many reasons to smile; I also hope for growing resilient.,template-reviewed
train-0163,train-single,zh,courage,,0,今年最想看到坚持自己的选择，愿好事慢慢发生。,template-reviewed
train-0164,train-single,en,reunion,,0,My simple wish is meeting old friends again after every patient wait.,template-reviewed
train-0165,train-single,en,joy,,0,Please weave a wish for lasting happiness starting today.,template-reviewed
train-0166,train-single,zh,longevity,,0,我希望初心长存。,template-reviewed
train-0167,train-single,en,courage,,0,My simple wish is overcoming this challenge after every patient wait.,template-reviewed
train-0168,train-mixed,zh,joy,safety,0,我希望笑容常在，同时盼望生活安定。,template-reviewed
train-0169,train-ambiguous,zh,reunion,,1,窗外有三棵树 2,template-reviewed
train-0170,train-mixed,en,safety,longevity,0,"My heart asks for health and safety, together with goodness that continues.",template-reviewed
train-0171,train-single,zh,safety,,0,愿望很简单，旅途顺利。,template-reviewed
train-0172,train-single,en,joy,,0,"For tomorrow, I wish for joy every day with gratitude for this moment.",template-reviewed
train-0173,train-single,zh,courage,,0,我的愿望是拥有勇气，不负每一次等待。,template-reviewed
train-0174,train-single,en,abundance,,0,My heart asks for abundant inspiration as good things unfold.,template-reviewed
train-0175,train-mixed,zh,abundance,reunion,0,今年最想看到收获满满，还想把祝福送给与故友重逢。,template-reviewed
train-0176,train-ambiguous,zh,reunion,,1,桌上放着一本书 4,template-reviewed
train-0177,train-single,en,courage,,0,My simple wish is growing resilient.,template-reviewed
train-0178,train-single,en,joy,,0,Let this wish carry joy every day as good things unfold.,template-reviewed
train-0179,train-single,en,reunion,,0,My simple wish is loved ones together in the days ahead.,template-reviewed
train-0180,train-mixed,zh,abundance,reunion,0,愿望很简单，五谷丰登，也愿早日回家。,template-reviewed
train-0181,train-single,en,reunion,,0,Please weave a wish for seeing those I miss starting today.,template-reviewed
train-0182,train-single,zh,joy,,0,真心期待笑容常在，这是我最珍重的期待。,template-reviewed
train-0183,train-single,zh,safety,,0,我的愿望是岁岁康宁，也送给每一个努力的人。,template-reviewed
train-0184,train-single,zh,safety,,0,愿健康安稳，送给我在意的人。,template-reviewed
train-0185,train-single,zh,joy,,0,愿生活有趣，愿好事慢慢发生。,template-reviewed
train-0186,train-mixed,en,joy,reunion,0,"Please weave a wish for joy every day, and also coming home soon.",template-reviewed
train-0187,train-single,zh,joy,,0,今年最想看到日日欢喜，从今天开始。,template-reviewed
train-0188,train-single,en,joy,,0,Let this wish carry wonderful news for the people close to me.,template-reviewed
train-0189,train-ambiguous,en,reunion,,1,there are three cups 3,template-reviewed
train-0190,train-single,en,joy,,0,I sincerely hope for bright heart in the days ahead.,template-reviewed
train-0191,train-single,en,reunion,,0,May there be our family reunites for everyone I care about.,template-reviewed
train-0192,train-mixed,zh,courage,longevity,0,想对明天说：成长得更坚韧，还想把祝福送给陪伴到老。,template-reviewed
train-0193,train-mixed,zh,safety,abundance,0,把这个心愿送给未来：健康安稳；更希望家业兴旺。,template-reviewed
train-0194,train-single,en,abundance,,0,This year I hope for success in my work.,template-reviewed
train-0195,train-single,zh,safety,,0,今年最想看到一路顺遂，愿好事慢慢发生。,template-reviewed
train-0196,train-ambiguous,zh,abundance,,1,窗外有三棵树 3,template-reviewed
train-0197,train-single,en,joy,,0,"For tomorrow, I wish for sharing delight for everyone I care about.",template-reviewed
train-0198,train-single,zh,abundance,,0,我希望努力结出果实，在新的日子里。,template-reviewed
train-0199,train-single,en,longevity,,0,"For tomorrow, I wish for goodness that continues for everyone I care about.",template-reviewed
train-0200,train-single,zh,joy,,0,请替我织下幸福相伴，一直记在心里。,template-reviewed
train-0201,train-ambiguous,en,abundance,,1,I wrote a short note 2,template-reviewed
train-0202,train-single,zh,courage,,0,想对明天说：坚持自己的选择，一直记在心里。,template-reviewed
train-0203,train-single,zh,reunion,,0,愿望很简单，再见想念的人。谢谢此刻的自己。,template-reviewed
train-0204,train-single,zh,longevity,,0,愿情谊长久，一直记在心里。,template-reviewed
train-0205,train-ambiguous,en,reunion,,1,this is an ordinary sentence 2,template-reviewed
train-0206,train-single,en,safety,,0,I want to see peace at home—this matters deeply to me.,template-reviewed
train-0207,train-single,zh,safety,,0,真心期待健康安稳，从今天开始。,template-reviewed
train-0208,train-single,en,joy,,0,"For tomorrow, I wish for wonderful news.",template-reviewed
train-0209,train-single,zh,courage,,0,真心期待不惧风雨，也送给每一个努力的人。,template-reviewed
train-0210,train-ambiguous,zh,longevity,,1,这是一段普通描述 4,template-reviewed
train-0211,train-single,en,abundance,,0,My simple wish is a plentiful life—this matters deeply to me.,template-reviewed
train-0212,train-single,zh,courage,,0,我的愿望是拥有勇气，不负每一次等待。,template-reviewed
train-0213,train-single,en,joy,,0,I want to see lasting happiness for the people close to me.,template-reviewed
train-0214,train-ambiguous,en,safety,,1,there are three cups 1,template-reviewed
train-0215,train-single,zh,joy,,0,我希望日日欢喜，不负每一次等待。,template-reviewed
train-0216,train-single,zh,courage,,0,此刻我盼望坚持自己的选择，这是我最珍重的期待。,template-reviewed
train-0217,train-mixed,en,joy,abundance,0,I sincerely hope for lasting happiness; I also hope for rewarding results.,template-reviewed
train-0218,train-single,en,safety,,0,I sincerely hope for everyone stays well after every patient wait.,template-reviewed
train-0219,train-single,zh,joy,,0,今年最想看到日日欢喜，从今天开始。,template-reviewed
train-0220,train-single,en,abundance,,0,My heart asks for prosperity through the seasons as good things unfold.,template-reviewed
train-0221,train-single,zh,abundance,,0,想对明天说：五谷丰登，不负每一次等待。,template-reviewed
train-0222,train-single,en,courage,,0,I want to see strength through storms.,template-reviewed
train-0223,train-ambiguous,zh,joy,,1,窗外有三棵树 4,template-reviewed
train-0224,train-single,zh,safety,,0,我的愿望是一路顺遂，也送给每一个努力的人。,template-reviewed
train-0225,train-single,zh,abundance,,0,此刻我盼望家业兴旺，从今天开始。,template-reviewed
train-0226,train-single,en,longevity,,0,I want to see a long healthy life.,template-reviewed
train-0227,train-single,zh,joy,,0,愿笑容常在，愿好事慢慢发生。,template-reviewed
train-0228,train-single,en,reunion,,0,I wish for meeting old friends again starting today.,template-reviewed
train-0229,train-single,en,safety,,0,I want to see health and safety and I will keep it in my heart.,template-reviewed
train-0230,train-mixed,en,abundance,reunion,0,This year I hope for a plentiful life; I also hope for seeing those I miss.,template-reviewed
train-0231,train-single,zh,courage,,0,请替我织下成长得更坚韧，一直记在心里。,template-reviewed
train-0232,train-single,en,joy,,0,Please weave a wish for many reasons to smile after every patient wait.,template-reviewed
train-0233,train-single,en,abundance,,0,I want to see a plentiful life and I will keep it in my heart.,template-reviewed
train-0234,train-single,zh,joy,,0,真心期待收获快乐，这是我最珍重的期待。,template-reviewed
train-0235,train-mixed,en,longevity,courage,0,"Let this wish carry a long healthy life, while carrying overcoming this challenge.",template-reviewed
train-0236,train-single,zh,safety,,0,把这个心愿送给未来：出入平安，在新的日子里。,template-reviewed
train-0237,train-single,zh,abundance,,0,我的愿望是五谷丰登，在新的日子里。,template-reviewed
train-0238,train-ambiguous,zh,reunion,,1,窗外有三棵树 1,template-reviewed
train-0239,train-single,zh,courage,,0,我的愿望是坚持自己的选择，也送给每一个努力的人。,template-reviewed
train-0240,train-single,zh,safety,,0,我的愿望是被温柔守护，在新的日子里。,template-reviewed
train-0241,train-single,zh,longevity,,0,今年最想看到美好延续，送给我在意的人。,template-reviewed
train-0242,train-single,en,longevity,,0,I sincerely hope for purpose that endures in the days ahead.,template-reviewed
train-0243,train-single,en,courage,,0,I want to see overcoming this challenge in the days ahead.,template-reviewed
train-0244,train-mixed,en,abundance,courage,0,"I sincerely hope for prosperity through the seasons, while carrying strength through storms.",template-reviewed
train-0245,train-ambiguous,en,longevity,,1,this is an ordinary sentence 1,template-reviewed
train-0246,train-single,zh,reunion,,0,把这个心愿送给未来：与故友重逢。,template-reviewed
train-0247,train-ambiguous,en,reunion,,1,the window faces east 4,template-reviewed
train-0248,train-single,zh,joy,,0,真心期待收获快乐，这是我最珍重的期待。,template-reviewed
train-0249,train-ambiguous,zh,reunion,,1,这是一段普通描述 3,template-reviewed
train-0250,train-single,en,abundance,,0,Please weave a wish for prosperity through the seasons with gratitude for this moment.,template-reviewed
train-0251,train-mixed,en,reunion,joy,0,"Please weave a wish for gathering around one table, together with joy every day.",template-reviewed
train-0252,train-single,zh,safety,,0,真心期待家人平安，从今天开始。,template-reviewed
train-0253,train-single,zh,joy,,0,此刻我盼望遇见好消息，这是我最珍重的期待。,template-reviewed
train-0254,train-single,zh,safety,,0,我希望被温柔守护。,template-reviewed
train-0255,train-single,en,abundance,,0,I sincerely hope for abundant harvest with gratitude for this moment.,template-reviewed
train-0256,train-mixed,en,joy,abundance,0,"My heart asks for joy every day, and also success in my work.",template-reviewed
train-0257,train-single,en,courage,,0,Please weave a wish for strength through storms after every patient wait.,template-reviewed
train-0258,train-ambiguous,en,joy,,1,there are three cups 4,template-reviewed
train-0259,train-single,en,abundance,,0,I wish for prosperity through the seasons—this matters deeply to me.,template-reviewed
train-0260,train-single,en,longevity,,0,Please weave a wish for long healthy life after every patient wait.,template-reviewed
train-0261,train-single,en,courage,,0,I want to see growing resilient starting today.,template-reviewed
train-0262,train-mixed,en,longevity,abundance,0,"This year I hope for family stories lasting generations, while carrying abundant inspiration.",template-reviewed
train-0263,train-ambiguous,en,joy,,1,I wrote a short note 1,template-reviewed
train-0264,train-single,zh,reunion,,0,真心期待亲人常相聚，在新的日子里。,template-reviewed
train-0265,train-mixed,zh,reunion,joy,0,把这个心愿送给未来：早日回家；更希望分享喜悦。,template-reviewed
train-0266,train-single,en,safety,,0,"For tomorrow, I wish for peaceful journey as good things unfold.",template-reviewed
train-0267,train-mixed,en,courage,longevity,0,Let this wish carry strength through storms; I also hope for a long healthy life.,template-reviewed
train-0268,train-mixed,en,longevity,safety,0,"For tomorrow, I wish for a long healthy life, while carrying a peaceful journey.",template-reviewed
train-0269,train-ambiguous,en,courage,,1,the window faces east 2,template-reviewed
train-0270,train-single,en,longevity,,0,This year I hope for goodness that continues as good things unfold.,template-reviewed
train-0271,train-single,en,safety,,0,Let this wish carry gentle protection.,template-reviewed
train-0272,train-mixed,zh,longevity,safety,0,我的愿望是家族故事代代相传，还想把祝福送给岁岁康宁。,template-reviewed
train-0273,train-ambiguous,zh,joy,,1,窗外有三棵树 3,template-reviewed
train-0274,train-single,en,safety,,0,This year I hope for gentle protection after every patient wait.,template-reviewed
train-0275,train-single,zh,courage,,0,把这个心愿送给未来：成长得更坚韧，也送给每一个努力的人。,template-reviewed
train-0276,train-single,zh,reunion,,0,我的愿望是团聚有期，不负每一次等待。,template-reviewed
train-0277,train-ambiguous,en,courage,,1,the room is quiet 4,template-reviewed
train-0278,train-mixed,en,courage,joy,0,"I want to see a steady heart, and also wonderful news.",template-reviewed
train-0279,train-single,zh,safety,,0,想对明天说：生活安定，一直记在心里。,template-reviewed
train-0280,train-ambiguous,zh,safety,,1,窗外有三棵树 2,template-reviewed
train-0281,train-single,zh,reunion,,0,请替我织下再见想念的人，一直记在心里。,template-reviewed
train-0282,train-single,en,reunion,,0,My heart asks for festival together.,template-reviewed
train-0283,train-single,en,courage,,0,My simple wish is a brave new start.,template-reviewed
train-0284,train-single,zh,joy,,0,真心期待生活有趣，这是我最珍重的期待。,template-reviewed
train-0285,train-single,en,joy,,0,I wish for playful life as good things unfold.,template-reviewed
train-0286,train-single,en,courage,,0,May there be a steady heart for the people close to me.,template-reviewed
train-0287,train-single,zh,safety,,0,此刻我盼望被温柔守护，从今天开始。,template-reviewed
train-0288,train-ambiguous,zh,safety,,1,桌上放着一本书 2,template-reviewed
train-0289,train-ambiguous,zh,abundance,,1,窗外有三棵树 1,template-reviewed
train-0290,train-ambiguous,zh,longevity,,1,今天穿蓝色衣服 3,template-reviewed
train-0291,train-ambiguous,zh,abundance,,1,桌上放着一本书 3,template-reviewed
train-0292,train-single,en,longevity,,0,I sincerely hope for many meaningful years for everyone I care about.,template-reviewed
train-0293,train-single,en,courage,,0,This year I hope for steady heart in the days ahead.,template-reviewed
train-0294,train-single,en,safety,,0,"For tomorrow, I wish for everyone stays well for the people close to me.",template-reviewed
train-0295,train-single,en,joy,,0,This year I hope for joy every day—this matters deeply to me.,template-reviewed
train-0296,train-single,zh,abundance,,0,今年最想看到五谷丰登，送给我在意的人。,template-reviewed
train-0297,train-mixed,zh,longevity,abundance,0,愿望很简单，长辈长寿，也愿事业有成。,template-reviewed
train-0298,train-ambiguous,en,joy,,1,this is an ordinary sentence 1,template-reviewed
train-0299,train-ambiguous,zh,abundance,,1,桌上放着一本书 2,template-reviewed
train-0300,train-single,zh,reunion,,0,想对明天说：家人围坐，从今天开始。,template-reviewed
train-0301,train-ambiguous,zh,longevity,,1,我在学习一门新语言 4,template-reviewed
